Date,Akhaber,Asia,Foulad,Hkashti,Mafakher,Nori,Satran,Shasta,Tejarat
20231231,11830,2136,6230,12480,12150,149510,8560,1265,2395
20231230,11830,2114,6280,12660,12710,149620,8610,1268,2421
20231227,11830,2076,6220,12590,13010,150250,8600,1264,2415
20231226,11880,2072,6210,12540,13260,149330,9030,1262,2428
20231225,11800,2068,6270,12830,13180,149770,9420,1273,2470
20231224,11780,2083,6300,13020,12430,149770,9100,1277,2459
20231223,12090,2094,6350,12870,12020,149770,9010,1284,2460
20231220,12110,2098,6370,13070,11660,150410,8820,1287,2458
20231219,12160,2092,6390,13330,11050,150220,8950,1292,2482
20231218,12860,2125,6310,13630,10680,150050,8620,1296,2492
20231216,12490,2072,6140,13530,10640,149310,8730,1263,2353
20231213,11740,2056,6070,12970,10530,148710,8640,1256,2307
20231212,11760,2169,6080,13010,10890,149250,8820,1260,2304
20231211,11330,2176,6090,13300,10750,149380,8750,1263,2313
20231210,11430,2179,6100,13050,10340,148890,8360,1263,2325
20231209,11430,2146,6090,12510,10530,148810,8250,1268,2322
20231206,11460,2184,6170,12890,10370,149890,8560,1282,2318
20231205,11970,2243,6230,13120,10570,150070,8210,1294,2381
20231204,11870,2231,6260,12620,10530,149500,8050,1297,2378
20231203,11740,2142,5910,12040,10410,147660,8000,1268,2413
20231202,11040,2008,5610,11560,10140,147580,8220,1226,2389
20231129,11070,1950,5480,11020,10110,147580,8050,1200,2292
20231128,10690,1923,5320,10520,10000,147230,8050,1183,2154
20231127,10200,1926,5310,10400,10270,146800,8280,1182,2146
20231126,10160,1929,5310,10510,9870,146540,8410,1183,2157
20231125,9510,1933,5320,10380,9950,145080,8530,1177,2150
20231122,9290,1944,5340,10420,10090,144080,8860,1184,2167
20231121,9350,1932,5330,10490,9980,141120,8760,1184,2180
20231120,9090,1942,5350,10550,9890,139880,8570,1172,2176
20231119,9270,1968,5380,10850,10020,139610,8560,1172,2178
20231118,9440,1972,5410,10900,10170,138950,8890,1172,2189
20231115,9490,2004,5490,11120,10230,138440,8610,1180,2250
20231114,9290,1995,5540,10880,10310,138340,8240,1186,2290
20231113,9510,2011,5600,10480,10470,138390,8440,1200,2316
20231112,9460,1929,5620,10430,10420,137910,8220,1193,2294
20231111,9730,1952,5640,10490,10690,138100,7860,1177,2278
20231108,9910,1966,5660,10490,10820,137880,7510,1158,2289
20231107,9920,1975,5660,10290,10530,137510,7690,1158,2283
20231106,9920,1887,5540,9960,9990,136810,7410,1141,2247
20231105,9720,1864,5530,9880,10090,135410,7590,1133,2226
20231104,9340,1871,5510,9780,10300,134790,7640,1129,2210
20231101,8730,1852,5350,9500,10210,133510,7290,1106,2156
20231031,8420,1890,5360,9920,10300,133690,7600,1110,2175
20231030,7900,1901,5350,9990,10180,133690,7850,1113,2184
20231029,7560,1895,5230,9820,9780,131020,7650,1089,2153
20231028,7530,1927,5200,9810,9820,132020,7500,1082,2110
20231025,8040,2000,5350,10260,10470,132020,7730,1129,2211
20231024,8060,2009,5320,10770,10060,132020,7400,1131,2209
20231023,8220,1985,5390,11330,10020,132020,7750,1131,2227
20231022,8290,1998,5370,11330,10300,132020,7800,1319,2233
20231021,8250,1995,5210,11330,10790,132190,7480,1319,2223
20231018,8280,1995,5230,11330,10610,133040,7190,1319,2215
20231017,8560,2011,5240,11330,10450,133320,7300,1319,2240
20231016,8510,2009,5240,11330,9870,132730,7390,1307,2220
20231015,8380,2004,5180,11330,9400,131930,7080,1288,2193
20231014,8460,2016,5140,11330,9440,133380,6780,1281,2206
20231011,8650,2014,5220,11330,9620,134440,6910,1291,2278
20231010,8650,1995,5240,11330,9640,134140,6600,1291,2295
20231009,8530,1992,5230,11330,9470,133970,6290,1267,2295
20231008,8500,2005,5130,11330,9600,133930,6010,1251,2308
20231007,9090,2027,5290,11330,10290,138240,6310,1288,2455
20231004,9540,2050,5300,13660,10550,138310,6490,1297,2531
20231002,9510,2031,5300,13660,10270,138220,6600,1292,2548
20231001,9460,2046,5310,13660,10350,138280,6520,1285,2577
20230930,9640,2064,5410,13550,10110,138180,6680,1297,2597
20230927,9870,2075,5500,13670,10650,138280,6760,1305,2579
20230926,9930,2110,5520,13490,10510,138330,6690,1306,2554
20230925,9920,1992,5540,13430,11240,138930,6580,1307,2523
20230923,10040,1995,5590,13800,11050,140390,6870,1329,2514
20230920,10130,2010,5590,13210,10480,140540,6860,1317,2522
20230919,10300,2020,5600,12930,9920,140870,7020,1338,2565
20230918,10390,2026,5570,13080,9910,141050,7050,1341,2603
20230917,10400,2026,5570,13050,10120,141470,7080,1346,2604
20230913,10040,2047,5560,13150,10470,140680,7030,1328,2602
20230912,10060,2064,5560,13300,10130,140760,7130,1333,2597
20230911,10070,2086,5550,13260,9670,140400,7170,1322,2578
20230910,10080,2096,5570,13260,9500,141130,7000,1323,2561
20230909,10000,2087,5610,13410,9720,141550,6710,1326,2544
20230905,10450,2110,5680,13750,9930,148130,7010,1345,2586
20230904,10450,2094,5670,13660,9870,145180,7010,1336,2537
20230903,10330,2062,5600,13310,9780,139060,6890,1291,2488
20230902,10340,2065,5590,13470,9930,138160,7110,1282,2478
20230830,10250,2072,5620,13750,9700,137840,7000,1298,2421
20230829,9660,2070,5610,13820,9100,137380,7130,1301,2285
20230828,9630,2087,5580,13850,9000,135570,6890,1313,2242
20230827,9580,2055,5500,13690,8920,130120,6570,1283,2214
20230826,9400,2005,5220,13140,8780,124760,6390,1223,2014
20230823,8840,1878,5000,12560,8720,119910,6130,1171,2014
20230822,8520,1876,5000,12110,8710,119480,6000,1158,1982
20230821,8780,1851,5060,12420,8910,119780,5950,1175,2017
20230820,8770,1830,5050,12400,9010,119740,6010,1166,1989
20230819,8740,1883,5050,12450,9160,119480,6260,1162,1976
20230816,8930,1872,5110,12760,9660,119260,6340,1183,2032
20230815,8940,1891,5120,13010,9760,119270,6310,1185,2036
20230814,9110,1916,5170,13400,9910,120110,6630,1193,2105
20230813,9040,1899,5170,13460,9710,119960,6570,1185,2097
20230812,9220,1913,5160,13410,9550,119630,6820,1180,2094
20230809,9880,1939,5320,14010,9730,122600,7170,1219,2181
20230808,9880,1952,5350,14060,9700,122580,6940,1228,2201
20230807,9980,1971,5370,14260,9660,123340,6900,1249,2261
20230806,10100,1971,5340,14430,9230,123510,6620,1242,2208
20230805,10300,1976,5300,14660,9140,122130,6690,1241,2201
20230801,10040,1930,5010,14260,8940,116920,6570,1208,2141
20230731,9940,1870,4970,14150,8910,113740,6610,1194,2122
20230730,9810,1868,4940,14080,8910,112840,6870,1187,2129
20230729,10380,1989,4990,14750,8950,114930,7190,1209,2201
20230726,10920,2028,5000,15520,8970,113440,7410,1224,2243
20230725,10690,2051,5030,16330,9000,113360,7100,1228,2254
20230724,10000,1936,5020,16920,9010,111760,7120,1205,2292
20230723,9480,1923,4960,16150,9000,109160,7280,1183,2232
20230722,9410,1895,5460,15590,8990,110140,7390,1184,2204
20230719,9410,2009,5460,15690,9080,115920,7770,1244,2318
20230718,9410,2162,5460,14970,8860,115960,7570,1212,2294
20230717,9410,2181,5140,14270,8690,121050,7210,1156,2149
20230716,10000,2181,5340,14970,9320,125260,7570,1179,2269
20230715,10410,2181,5530,15360,9850,138460,7940,1223,2400
20230712,10210,2247,5470,15560,10110,138460,8170,1219,2401
20230711,10820,2328,5670,16360,10460,138460,8600,1266,2493
20230710,11110,2320,5770,16750,10890,138460,9030,1288,2532
20230709,11570,2322,5800,17040,11310,138460,9200,1293,2567
20230708,11580,2333,5830,17320,11460,140350,8860,1307,2610
20230705,11580,2421,5910,17310,11770,142480,9240,1315,2635
20230704,11580,2452,5930,17070,11420,143230,8870,1316,2618
20230703,11240,2320,5740,16310,10750,141230,8450,1306,2496
20230702,10880,2191,5580,15880,10730,136980,8050,1286,2493
20230701,10820,2159,5520,15840,10720,133370,7670,1274,2473
20230628,11150,2167,5580,15930,10800,137490,7330,1284,2563
20230627,11350,2198,5620,16130,10770,138880,7420,1304,2589
20230626,11560,2200,5690,16510,10760,141000,7470,1329,2616
20230625,11490,2242,5650,16590,10750,139130,7210,1335,2662
20230624,11400,2204,5580,16670,10620,132700,7150,1317,2826
20230621,11890,2327,5660,16880,10730,132800,7330,1316,2884
20230620,12040,2335,5680,16890,10750,130430,7360,1297,2884
20230619,11950,2330,5710,16950,10650,131700,7710,1281,2884
20230618,11950,2251,5770,16380,11130,135780,7540,1273,2956
20230617,12520,2194,5810,16710,11470,135810,7790,1290,2999
20230614,12750,2227,5820,17040,11340,133710,7460,1295,2915
20230613,12420,2193,5590,17070,11350,131430,7520,1280,2884
20230612,12170,2200,5520,17000,11440,130560,7280,1272,2804
20230611,13070,2309,5820,17440,12070,137150,7150,1316,2877
20230610,13070,2339,5890,17470,12280,137270,6850,1317,2885
20230607,13070,2512,6130,18360,13120,141800,6630,1383,3057
