Date,Iran Khodro,S*Mobarakeh Steel,S*Isf. Oil Ref.Co.,Gol-E-Gohar.,S*F. & Kh. Cement,Rouz Darou P.,Pars Switch,Iran China Clay,S*IRI Marine Co.,I. Pegah Dairy,Int. Const.,S*Sabet Khorasan,Soufian Cement,S*Saipa,S*I. N. C. Ind.
20251022,526,2739,4865,2031,16900,9200,4992,20450,5580,8670,536,1975,142610,484,7870
20251021,518,2712,4762,1972,16920,9230,4977,20500,5430,8570,534,1918,139030,484,7820
20251020,529,2754,4645,2010,17010,9240,4968,20440,5460,8490,520,1884,135800,494,7800
20251019,517,2816,4721,2042,17220,9270,4960,20480,5580,8590,510,1906,131940,499,7920
20251018,517,2791,4649,2014,17180,9310,4949,20410,5630,8550,521,1898,128170,485,7740
20251015,502,2710,4514,1957,16750,9240,4920,20280,5470,8310,517,1843,124440,471,7520
20251014,490,2767,4643,2010,17100,8980,4887,20220,5610,8250,532,1803,125290,480,7660
20251013,476,2824,4751,2051,17310,8750,4876,20200,5720,8230,404,1793,126200,472,7810
20251012,476,2807,4711,2089,17120,8970,4858,20150,5580,8100,404,1742,127170,461,7860
20251011,476,2730,4576,2033,16630,9040,4815,19760,5020,7880,404,1693,126440,448,7660
20251008,476,2696,4470,2008,16190,9170,4811,19630,6070,7670,404,1678,126240,436,7710
20251007,464,2690,4598,1953,16480,9180,4805,19070,6070,7700,404,1691,129260,437,7500
20251006,452,2624,4521,1898,16480,9200,4797,18550,6070,7590,404,1668,126690,427,7290
20251005,445,2549,4418,1845,16480,9210,4796,18550,6070,7610,404,1704,127070,430,7080
20251004,433,2475,4290,1792,16010,9230,4808,18440,6070,7550,404,1661,123900,420,6880
20251001,421,2403,4166,1772,15550,9250,4812,17950,5900,7380,404,1613,120400,408,6680
20250930,427,2423,4069,1797,15920,9260,4841,17970,6050,7310,404,1629,123960,410,6530
20250929,419,2366,3951,1766,15870,9320,4841,17920,6200,7320,404,1633,124260,415,6340
20250928,407,2298,3836,1715,15410,9560,4824,17430,6020,7110,404,1586,120650,403,6160
20250927,396,2232,3725,1666,15240,9580,4809,17200,5850,6990,404,1540,117140,392,5990
20250924,392,2169,3617,1631,14820,9590,4806,16700,5700,6880,404,1499,114320,384,5840
20250923,402,2204,3562,1641,15210,9590,4817,17030,5840,6930,404,1514,117370,394,5840
20250922,402,2228,3476,1642,15280,9600,4818,17010,5980,6920,404,1509,115090,397,5860
20250921,391,2166,3375,1608,15190,9800,4817,16990,5920,6900,404,1476,111850,386,5700
20250920,403,2224,3448,1636,15650,9800,4844,17340,6100,7060,404,1517,114880,396,5720
20250917,415,2292,3554,1686,15960,9800,4910,17430,6190,7110,404,1534,118430,408,5890
20250916,426,2352,3613,1732,16380,9800,4988,17510,6290,7140,404,1580,121810,418,5980
20250915,437,2424,3724,1770,16800,9800,4990,17540,6430,7240,404,1609,124630,430,6150
20250914,429,2460,3797,1779,16420,9800,4992,17570,6470,7200,404,1646,124990,439,6210
20250913,417,2399,3700,1757,16040,9810,4990,17490,6290,7040,404,1602,121400,428,6050
20250909,423,2417,3613,1766,16140,9830,4990,17410,6290,6890,404,1564,118160,440,6040
